:IngredientName,IngredientType,Unit,Unit,Recipe
EDIT_PRE_PVD3_Sply_StVal,Analog,EDIT_PRE_PVD3_Sply_StVal,,0
EDIT_PRE_PVD3_Sply_EnVal,Analog,EDIT_PRE_PVD3_Sply_EnVal,,0
EDIT_PRE_PVD3_Sply_RTp,Analog,EDIT_PRE_PVD3_Sply_RTp,,0
EDIT_PRE_PVD3_Sply_RT,Analog,EDIT_PRE_PVD3_Sply_RT,,0
EDIT_PRE_PVD3_Sply_RR,Analog,EDIT_PRE_PVD3_Sply_RR,,0
EDIT_PRE_PVD3_Sply_HT,Analog,EDIT_PRE_PVD3_Sply_HT,,0
EDIT_PRE_PVD3_Sply_HR,Analog,EDIT_PRE_PVD3_Sply_HR,,0
EDIT_PRE_PVD3_SplyMode,Analog,EDIT_PRE_PVD3_SplyMode,,0
EDIT_PRE_PVD3_SplyTAP,Analog,EDIT_PRE_PVD3_SplyTAP,,0
EDIT_PRE_PVD3_SplyCtrlMode,Analog,EDIT_PRE_PVD3_SplyCtrlMode,,0
EDIT_PRE_PVD3_PlasPrSl,Analog,EDIT_PRE_PVD3_PlasPrSl,,0
EDIT_PRE_TGC_TGNo,Analog,EDIT_PRE_TGC_TGNo,,0
EDIT_PRE_WBM_MeasMode,Analog,EDIT_PRE_WBM_MeasMode,,0
EDIT_PRE_WBM_LayerNo,Analog,EDIT_PRE_WBM_LayerNo,,0
EDIT_PRE_WBM_ACP,Analog,EDIT_PRE_WBM_ACP,,0
EDIT_PRE_WBM_SaveCount,Analog,EDIT_PRE_WBM_SaveCount,,0
EDIT_PRE_WBM_SaveInit,Analog,EDIT_PRE_WBM_SaveInit,,0
EDIT_PRE_WBM_Autoscaling,Analog,EDIT_PRE_WBM_Autoscaling,,0
EDIT_PRE_WBM_InitThickSel,Analog,EDIT_PRE_WBM_InitThickSel,,0
EDIT_PRE_WBM_InitThick,Analog,EDIT_PRE_WBM_InitThick,,0
EDIT_PP_ProcType,Analog,EDIT_PP_ProcType,,0
EDIT_PP_PhsTime,Analog,EDIT_PP_PhsTime,,0
EDIT_PP_PhsRounds,Analog,EDIT_PP_PhsRounds,,0
EDIT_PP_MaxTimePhs,Analog,EDIT_PP_MaxTimePhs,,0
EDIT_PP_RateCtrlStartThickCalc,Analog,EDIT_PP_RateCtrlStartThickCalc,,0
EDIT_PP_RateCtrlStartTimeCalc,Analog,EDIT_PP_RateCtrlStartTimeCalc,,0
EDIT_PP_RateCtrlEn,Analog,EDIT_PP_RateCtrlEn,,0
EDIT_PP_RateCtrlNoVals,Analog,EDIT_PP_RateCtrlNoVals,,0
EDIT_PP_ProfileContMode,Analog,EDIT_PP_ProfileContMode,,0
EDIT_PP_PBS_MBoxPosC1,Analog,EDIT_PP_PBS_MBoxPosC1,,0
EDIT_PP_PBS_MBoxPosC2,Analog,EDIT_PP_PBS_MBoxPosC2,,0
EDIT_PP_PBS_MBoxPosC3,Analog,EDIT_PP_PBS_MBoxPosC3,,0
EDIT_PP_PBS_Phs1_Gas1_StVal,Analog,EDIT_PP_PBS_Phs1_Gas1_StVal,,0
EDIT_PP_PBS_Phs1_Gas1_EnVal,Analog,EDIT_PP_PBS_Phs1_Gas1_EnVal,,0
EDIT_PP_PBS_Phs1_Gas1_REn,Discrete,EDIT_PP_PBS_Phs1_Gas1_REn,,0
EDIT_PP_PBS_Phs1_Gas1_RT,Analog,EDIT_PP_PBS_Phs1_Gas1_RT,,0
EDIT_PP_PBS_Phs1_Gas1_RR,Analog,EDIT_PP_PBS_Phs1_Gas1_RR,,0
EDIT_PP_PBS_Phs1_Gas1_HT,Analog,EDIT_PP_PBS_Phs1_Gas1_HT,,0
EDIT_PP_PBS_Phs1_Gas1_HR,Analog,EDIT_PP_PBS_Phs1_Gas1_HR,,0
EDIT_PP_PBS_Phs1_Gas2_StVal,Analog,EDIT_PP_PBS_Phs1_Gas2_StVal,,0
EDIT_PP_PBS_Phs1_Gas2_EnVal,Analog,EDIT_PP_PBS_Phs1_Gas2_EnVal,,0
EDIT_PP_PBS_Phs1_Gas2_REn,Discrete,EDIT_PP_PBS_Phs1_Gas2_REn,,0
EDIT_PP_PBS_Phs1_Gas2_RT,Analog,EDIT_PP_PBS_Phs1_Gas2_RT,,0
EDIT_PP_PBS_Phs1_Gas2_RR,Analog,EDIT_PP_PBS_Phs1_Gas2_RR,,0
EDIT_PP_PBS_Phs1_Gas2_HT,Analog,EDIT_PP_PBS_Phs1_Gas2_HT,,0
EDIT_PP_PBS_Phs1_Gas2_HR,Analog,EDIT_PP_PBS_Phs1_Gas2_HR,,0
EDIT_PP_PBS_Phs1_Gas3_StVal,Analog,EDIT_PP_PBS_Phs1_Gas3_StVal,,0
EDIT_PP_PBS_Phs1_Gas3_EnVal,Analog,EDIT_PP_PBS_Phs1_Gas3_EnVal,,0
EDIT_PP_PBS_Phs1_Gas3_REn,Discrete,EDIT_PP_PBS_Phs1_Gas3_REn,,0
EDIT_PP_PBS_Phs1_Gas3_RT,Analog,EDIT_PP_PBS_Phs1_Gas3_RT,,0
EDIT_PP_PBS_Phs1_Gas3_RR,Analog,EDIT_PP_PBS_Phs1_Gas3_RR,,0
EDIT_PP_PBS_Phs1_Gas3_HT,Analog,EDIT_PP_PBS_Phs1_Gas3_HT,,0
EDIT_PP_PBS_Phs1_Gas3_HR,Analog,EDIT_PP_PBS_Phs1_Gas3_HR,,0
EDIT_PP_PBS_Phs1_Gas4_StVal,Analog,EDIT_PP_PBS_Phs1_Gas4_StVal,,0
EDIT_PP_PBS_Phs1_Gas4_EnVal,Analog,EDIT_PP_PBS_Phs1_Gas4_EnVal,,0
EDIT_PP_PBS_Phs1_Gas4_REn,Discrete,EDIT_PP_PBS_Phs1_Gas4_REn,,0
EDIT_PP_PBS_Phs1_Gas4_RT,Analog,EDIT_PP_PBS_Phs1_Gas4_RT,,0
EDIT_PP_PBS_Phs1_Gas4_RR,Analog,EDIT_PP_PBS_Phs1_Gas4_RR,,0
EDIT_PP_PBS_Phs1_Gas4_HT,Analog,EDIT_PP_PBS_Phs1_Gas4_HT,,0
EDIT_PP_PBS_Phs1_Gas4_HR,Analog,EDIT_PP_PBS_Phs1_Gas4_HR,,0
EDIT_PP_PBS_Phs1_Sply_StVal,Analog,EDIT_PP_PBS_Phs1_Sply_StVal,,0
EDIT_PP_PBS_Phs1_Sply_EnVal,Analog,EDIT_PP_PBS_Phs1_Sply_EnVal,,0
EDIT_PP_PBS_Phs1_Sply_REn,Discrete,EDIT_PP_PBS_Phs1_Sply_REn,,0
EDIT_PP_PBS_Phs1_Sply_RT,Analog,EDIT_PP_PBS_Phs1_Sply_RT,,0
EDIT_PP_PBS_Phs1_Sply_RR,Analog,EDIT_PP_PBS_Phs1_Sply_RR,,0
EDIT_PP_PBS_Phs1_Sply_HT,Analog,EDIT_PP_PBS_Phs1_Sply_HT,,0
EDIT_PP_PBS_Phs1_Sply_HR,Analog,EDIT_PP_PBS_Phs1_Sply_HR,,0
EDIT_PP_PBS_Phs2_Gas1_StVal,Analog,EDIT_PP_PBS_Phs2_Gas1_StVal,,0
EDIT_PP_PBS_Phs2_Gas1_EnVal,Analog,EDIT_PP_PBS_Phs2_Gas1_EnVal,,0
EDIT_PP_PBS_Phs2_Gas1_REn,Discrete,EDIT_PP_PBS_Phs2_Gas1_REn,,0
EDIT_PP_PBS_Phs2_Gas1_RT,Analog,EDIT_PP_PBS_Phs2_Gas1_RT,,0
EDIT_PP_PBS_Phs2_Gas1_RR,Analog,EDIT_PP_PBS_Phs2_Gas1_RR,,0
EDIT_PP_PBS_Phs2_Gas1_HT,Analog,EDIT_PP_PBS_Phs2_Gas1_HT,,0
EDIT_PP_PBS_Phs2_Gas1_HR,Analog,EDIT_PP_PBS_Phs2_Gas1_HR,,0
EDIT_PP_PBS_Phs2_Gas2_StVal,Analog,EDIT_PP_PBS_Phs2_Gas2_StVal,,0
EDIT_PP_PBS_Phs2_Gas2_EnVal,Analog,EDIT_PP_PBS_Phs2_Gas2_EnVal,,0
EDIT_PP_PBS_Phs2_Gas2_REn,Discrete,EDIT_PP_PBS_Phs2_Gas2_REn,,0
EDIT_PP_PBS_Phs2_Gas2_RT,Analog,EDIT_PP_PBS_Phs2_Gas2_RT,,0
EDIT_PP_PBS_Phs2_Gas2_RR,Analog,EDIT_PP_PBS_Phs2_Gas2_RR,,0
EDIT_PP_PBS_Phs2_Gas2_HT,Analog,EDIT_PP_PBS_Phs2_Gas2_HT,,0
EDIT_PP_PBS_Phs2_Gas2_HR,Analog,EDIT_PP_PBS_Phs2_Gas2_HR,,0
EDIT_PP_PBS_Phs2_Gas3_StVal,Analog,EDIT_PP_PBS_Phs2_Gas3_StVal,,0
EDIT_PP_PBS_Phs2_Gas3_EnVal,Analog,EDIT_PP_PBS_Phs2_Gas3_EnVal,,0
EDIT_PP_PBS_Phs2_Gas3_REn,Discrete,EDIT_PP_PBS_Phs2_Gas3_REn,,0
EDIT_PP_PBS_Phs2_Gas3_RT,Analog,EDIT_PP_PBS_Phs2_Gas3_RT,,0
EDIT_PP_PBS_Phs2_Gas3_RR,Analog,EDIT_PP_PBS_Phs2_Gas3_RR,,0
EDIT_PP_PBS_Phs2_Gas3_HT,Analog,EDIT_PP_PBS_Phs2_Gas3_HT,,0
EDIT_PP_PBS_Phs2_Gas3_HR,Analog,EDIT_PP_PBS_Phs2_Gas3_HR,,0
EDIT_PP_PBS_Phs2_Gas4_StVal,Analog,EDIT_PP_PBS_Phs2_Gas4_StVal,,0
EDIT_PP_PBS_Phs2_Gas4_EnVal,Analog,EDIT_PP_PBS_Phs2_Gas4_EnVal,,0
EDIT_PP_PBS_Phs2_Gas4_REn,Discrete,EDIT_PP_PBS_Phs2_Gas4_REn,,0
EDIT_PP_PBS_Phs2_Gas4_RT,Analog,EDIT_PP_PBS_Phs2_Gas4_RT,,0
EDIT_PP_PBS_Phs2_Gas4_RR,Analog,EDIT_PP_PBS_Phs2_Gas4_RR,,0
EDIT_PP_PBS_Phs2_Gas4_HT,Analog,EDIT_PP_PBS_Phs2_Gas4_HT,,0
EDIT_PP_PBS_Phs2_Gas4_HR,Analog,EDIT_PP_PBS_Phs2_Gas4_HR,,0
EDIT_PP_PBS_Phs2_Sply_StVal,Analog,EDIT_PP_PBS_Phs2_Sply_StVal,,0
EDIT_PP_PBS_Phs2_Sply_EnVal,Analog,EDIT_PP_PBS_Phs2_Sply_EnVal,,0
EDIT_PP_PBS_Phs2_Sply_REn,Discrete,EDIT_PP_PBS_Phs2_Sply_REn,,0
EDIT_PP_PBS_Phs2_Sply_RT,Analog,EDIT_PP_PBS_Phs2_Sply_RT,,0
EDIT_PP_PBS_Phs2_Sply_RR,Analog,EDIT_PP_PBS_Phs2_Sply_RR,,0
EDIT_PP_PBS_Phs2_Sply_HT,Analog,EDIT_PP_PBS_Phs2_Sply_HT,,0
EDIT_PP_PBS_Phs2_Sply_HR,Analog,EDIT_PP_PBS_Phs2_Sply_HR,,0
EDIT_PP_PBS_Phs3_Gas1_StVal,Analog,EDIT_PP_PBS_Phs3_Gas1_StVal,,0
EDIT_PP_PBS_Phs3_Gas1_EnVal,Analog,EDIT_PP_PBS_Phs3_Gas1_EnVal,,0
EDIT_PP_PBS_Phs3_Gas1_REn,Discrete,EDIT_PP_PBS_Phs3_Gas1_REn,,0
EDIT_PP_PBS_Phs3_Gas1_RT,Analog,EDIT_PP_PBS_Phs3_Gas1_RT,,0
EDIT_PP_PBS_Phs3_Gas1_RR,Analog,EDIT_PP_PBS_Phs3_Gas1_RR,,0
EDIT_PP_PBS_Phs3_Gas1_HT,Analog,EDIT_PP_PBS_Phs3_Gas1_HT,,0
EDIT_PP_PBS_Phs3_Gas1_HR,Analog,EDIT_PP_PBS_Phs3_Gas1_HR,,0
EDIT_PP_PBS_Phs3_Gas2_StVal,Analog,EDIT_PP_PBS_Phs3_Gas2_StVal,,0
EDIT_PP_PBS_Phs3_Gas2_EnVal,Analog,EDIT_PP_PBS_Phs3_Gas2_EnVal,,0
EDIT_PP_PBS_Phs3_Gas2_REn,Discrete,EDIT_PP_PBS_Phs3_Gas2_REn,,0
EDIT_PP_PBS_Phs3_Gas2_RT,Analog,EDIT_PP_PBS_Phs3_Gas2_RT,,0
EDIT_PP_PBS_Phs3_Gas2_RR,Analog,EDIT_PP_PBS_Phs3_Gas2_RR,,0
EDIT_PP_PBS_Phs3_Gas2_HT,Analog,EDIT_PP_PBS_Phs3_Gas2_HT,,0
EDIT_PP_PBS_Phs3_Gas2_HR,Analog,EDIT_PP_PBS_Phs3_Gas2_HR,,0
EDIT_PP_PBS_Phs3_Gas3_StVal,Analog,EDIT_PP_PBS_Phs3_Gas3_StVal,,0
EDIT_PP_PBS_Phs3_Gas3_EnVal,Analog,EDIT_PP_PBS_Phs3_Gas3_EnVal,,0
EDIT_PP_PBS_Phs3_Gas3_REn,Discrete,EDIT_PP_PBS_Phs3_Gas3_REn,,0
EDIT_PP_PBS_Phs3_Gas3_RT,Analog,EDIT_PP_PBS_Phs3_Gas3_RT,,0
EDIT_PP_PBS_Phs3_Gas3_RR,Analog,EDIT_PP_PBS_Phs3_Gas3_RR,,0
EDIT_PP_PBS_Phs3_Gas3_HT,Analog,EDIT_PP_PBS_Phs3_Gas3_HT,,0
EDIT_PP_PBS_Phs3_Gas3_HR,Analog,EDIT_PP_PBS_Phs3_Gas3_HR,,0
EDIT_PP_PBS_Phs3_Gas4_StVal,Analog,EDIT_PP_PBS_Phs3_Gas4_StVal,,0
EDIT_PP_PBS_Phs3_Gas4_EnVal,Analog,EDIT_PP_PBS_Phs3_Gas4_EnVal,,0
EDIT_PP_PBS_Phs3_Gas4_REn,Discrete,EDIT_PP_PBS_Phs3_Gas4_REn,,0
EDIT_PP_PBS_Phs3_Gas4_RT,Analog,EDIT_PP_PBS_Phs3_Gas4_RT,,0
EDIT_PP_PBS_Phs3_Gas4_RR,Analog,EDIT_PP_PBS_Phs3_Gas4_RR,,0
EDIT_PP_PBS_Phs3_Gas4_HT,Analog,EDIT_PP_PBS_Phs3_Gas4_HT,,0
EDIT_PP_PBS_Phs3_Gas4_HR,Analog,EDIT_PP_PBS_Phs3_Gas4_HR,,0
EDIT_PP_PBS_Phs3_Sply_StVal,Analog,EDIT_PP_PBS_Phs3_Sply_StVal,,0
EDIT_PP_PBS_Phs3_Sply_EnVal,Analog,EDIT_PP_PBS_Phs3_Sply_EnVal,,0
EDIT_PP_PBS_Phs3_Sply_REn,Discrete,EDIT_PP_PBS_Phs3_Sply_REn,,0
EDIT_PP_PBS_Phs3_Sply_RT,Analog,EDIT_PP_PBS_Phs3_Sply_RT,,0
EDIT_PP_PBS_Phs3_Sply_RR,Analog,EDIT_PP_PBS_Phs3_Sply_RR,,0
EDIT_PP_PBS_Phs3_Sply_HT,Analog,EDIT_PP_PBS_Phs3_Sply_HT,,0
EDIT_PP_PBS_Phs3_Sply_HR,Analog,EDIT_PP_PBS_Phs3_Sply_HR,,0
EDIT_PP_PVD1_Phs1_Gas1_StVal,Analog,EDIT_PP_PVD1_Phs1_Gas1_StVal,,0
EDIT_PP_PVD1_Phs1_Gas1_EnVal,Analog,EDIT_PP_PVD1_Phs1_Gas1_EnVal,,0
EDIT_PP_PVD1_Phs1_Gas1_REn,Discrete,EDIT_PP_PVD1_Phs1_Gas1_REn,,0
EDIT_PP_PVD1_Phs1_Gas1_RT,Analog,EDIT_PP_PVD1_Phs1_Gas1_RT,,0
EDIT_PP_PVD1_Phs1_Gas1_RR,Analog,EDIT_PP_PVD1_Phs1_Gas1_RR,,0
EDIT_PP_PVD1_Phs1_Gas1_HT,Analog,EDIT_PP_PVD1_Phs1_Gas1_HT,,0
EDIT_PP_PVD1_Phs1_Gas1_HR,Analog,EDIT_PP_PVD1_Phs1_Gas1_HR,,0
EDIT_PP_PVD1_Phs1_Gas2_StVal,Analog,EDIT_PP_PVD1_Phs1_Gas2_StVal,,0
EDIT_PP_PVD1_Phs1_Gas2_EnVal,Analog,EDIT_PP_PVD1_Phs1_Gas2_EnVal,,0
EDIT_PP_PVD1_Phs1_Gas2_REn,Discrete,EDIT_PP_PVD1_Phs1_Gas2_REn,,0
EDIT_PP_PVD1_Phs1_Gas2_RT,Analog,EDIT_PP_PVD1_Phs1_Gas2_RT,,0
EDIT_PP_PVD1_Phs1_Gas2_RR,Analog,EDIT_PP_PVD1_Phs1_Gas2_RR,,0
EDIT_PP_PVD1_Phs1_Gas2_HT,Analog,EDIT_PP_PVD1_Phs1_Gas2_HT,,0
EDIT_PP_PVD1_Phs1_Gas2_HR,Analog,EDIT_PP_PVD1_Phs1_Gas2_HR,,0
EDIT_PP_PVD1_Phs1_Gas3_StVal,Analog,EDIT_PP_PVD1_Phs1_Gas3_StVal,,0
EDIT_PP_PVD1_Phs1_Gas3_EnVal,Analog,EDIT_PP_PVD1_Phs1_Gas3_EnVal,,0
EDIT_PP_PVD1_Phs1_Gas3_REn,Discrete,EDIT_PP_PVD1_Phs1_Gas3_REn,,0
EDIT_PP_PVD1_Phs1_Gas3_RT,Analog,EDIT_PP_PVD1_Phs1_Gas3_RT,,0
EDIT_PP_PVD1_Phs1_Gas3_RR,Analog,EDIT_PP_PVD1_Phs1_Gas3_RR,,0
EDIT_PP_PVD1_Phs1_Gas3_HT,Analog,EDIT_PP_PVD1_Phs1_Gas3_HT,,0
EDIT_PP_PVD1_Phs1_Gas3_HR,Analog,EDIT_PP_PVD1_Phs1_Gas3_HR,,0
EDIT_PP_PVD1_Phs1_Gas4_StVal,Analog,EDIT_PP_PVD1_Phs1_Gas4_StVal,,0
EDIT_PP_PVD1_Phs1_Gas4_EnVal,Analog,EDIT_PP_PVD1_Phs1_Gas4_EnVal,,0
EDIT_PP_PVD1_Phs1_Gas4_REn,Discrete,EDIT_PP_PVD1_Phs1_Gas4_REn,,0
EDIT_PP_PVD1_Phs1_Gas4_RT,Analog,EDIT_PP_PVD1_Phs1_Gas4_RT,,0
EDIT_PP_PVD1_Phs1_Gas4_RR,Analog,EDIT_PP_PVD1_Phs1_Gas4_RR,,0
EDIT_PP_PVD1_Phs1_Gas4_HT,Analog,EDIT_PP_PVD1_Phs1_Gas4_HT,,0
EDIT_PP_PVD1_Phs1_Gas4_HR,Analog,EDIT_PP_PVD1_Phs1_Gas4_HR,,0
EDIT_PP_PVD1_Phs1_LS_StVal,Analog,EDIT_PP_PVD1_Phs1_LS_StVal,,0
EDIT_PP_PVD1_Phs1_LS_EnVal,Analog,EDIT_PP_PVD1_Phs1_LS_EnVal,,0
EDIT_PP_PVD1_Phs1_LS_REn,Discrete,EDIT_PP_PVD1_Phs1_LS_REn,,0
EDIT_PP_PVD1_Phs1_LS_RT,Analog,EDIT_PP_PVD1_Phs1_LS_RT,,0
EDIT_PP_PVD1_Phs1_LS_RR,Analog,EDIT_PP_PVD1_Phs1_LS_RR,,0
EDIT_PP_PVD1_Phs1_LS_HT,Analog,EDIT_PP_PVD1_Phs1_LS_HT,,0
EDIT_PP_PVD1_Phs1_LS_HR,Analog,EDIT_PP_PVD1_Phs1_LS_HR,,0
EDIT_PP_PVD1_Phs1_Sply_StVal,Analog,EDIT_PP_PVD1_Phs1_Sply_StVal,,0
EDIT_PP_PVD1_Phs1_Sply_EnVal,Analog,EDIT_PP_PVD1_Phs1_Sply_EnVal,,0
EDIT_PP_PVD1_Phs1_Sply_REn,Discrete,EDIT_PP_PVD1_Phs1_Sply_REn,,0
EDIT_PP_PVD1_Phs1_Sply_RT,Analog,EDIT_PP_PVD1_Phs1_Sply_RT,,0
EDIT_PP_PVD1_Phs1_Sply_RR,Analog,EDIT_PP_PVD1_Phs1_Sply_RR,,0
EDIT_PP_PVD1_Phs1_Sply_HT,Analog,EDIT_PP_PVD1_Phs1_Sply_HT,,0
EDIT_PP_PVD1_Phs1_Sply_HR,Analog,EDIT_PP_PVD1_Phs1_Sply_HR,,0
EDIT_PP_PVD1_Phs1_SplyCtrl,Discrete,EDIT_PP_PVD1_Phs1_SplyCtrl,,0
EDIT_PP_PVD1_Phs2_Gas1_StVal,Analog,EDIT_PP_PVD1_Phs2_Gas1_StVal,,0
EDIT_PP_PVD1_Phs2_Gas1_EnVal,Analog,EDIT_PP_PVD1_Phs2_Gas1_EnVal,,0
EDIT_PP_PVD1_Phs2_Gas1_REn,Discrete,EDIT_PP_PVD1_Phs2_Gas1_REn,,0
EDIT_PP_PVD1_Phs2_Gas1_RT,Analog,EDIT_PP_PVD1_Phs2_Gas1_RT,,0
EDIT_PP_PVD1_Phs2_Gas1_RR,Analog,EDIT_PP_PVD1_Phs2_Gas1_RR,,0
EDIT_PP_PVD1_Phs2_Gas1_HT,Analog,EDIT_PP_PVD1_Phs2_Gas1_HT,,0
EDIT_PP_PVD1_Phs2_Gas1_HR,Analog,EDIT_PP_PVD1_Phs2_Gas1_HR,,0
EDIT_PP_PVD1_Phs2_Gas2_StVal,Analog,EDIT_PP_PVD1_Phs2_Gas2_StVal,,0
EDIT_PP_PVD1_Phs2_Gas2_EnVal,Analog,EDIT_PP_PVD1_Phs2_Gas2_EnVal,,0
EDIT_PP_PVD1_Phs2_Gas2_REn,Discrete,EDIT_PP_PVD1_Phs2_Gas2_REn,,0
EDIT_PP_PVD1_Phs2_Gas2_RT,Analog,EDIT_PP_PVD1_Phs2_Gas2_RT,,0
